Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound,Age Group,Latitude,Longitude
Libya,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",163.24606579109002,111.83009622322,227.98448973024,70+,26.3351,17.2283
Libya,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",92.22318158899,60.83066133099,133.07868816565,70+,26.3351,17.2283
Morocco,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",170.84352634357,115.50058688134,242.91005736482,70+,31.7917,-7.0926
Morocco,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",103.1054097516,66.7807237932,144.68335742716,70+,31.7917,-7.0926
Oman,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",288.88456904235,190.9387017518,410.09859062894,70+,21.4735,55.9754
Oman,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",145.43697293642998,91.66439968394,209.68109571549,70+,21.4735,55.9754
Palestine,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",196.83233873624,128.18390586218,280.39582443238,70+,31.9474,35.2272
Palestine,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",112.84822459993,75.81374384418,161.65101551093,70+,31.9474,35.2272
Qatar,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",267.7979351243,174.09858988487,392.52026057387,70+,25.3548,51.1839
Qatar,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",223.0277955361,148.12430772897,319.32158066509,70+,25.3548,51.1839
Saudi Arabia,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",234.32486748201,160.52924551657,338.04580314878,70+,23.8859,45.0792
Saudi Arabia,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",106.26636582422,66.27129543552999,151.74160068553,70+,23.8859,45.0792
Sudan,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",158.45135637943,96.3503407135,237.21312929823,70+,12.8628,30.2176
Sudan,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",84.44562219769,55.01554022873,124.58334837737,70+,12.8628,30.2176
Syrian Arab Republic,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",177.93112804129998,119.33514492569,256.12947080385004,70+,34.802075,38.996815
Syrian Arab Republic,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",95.38533621241,60.16034447716,141.07023689575,70+,34.802075,38.996815
Tunisia,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",186.63356484862,124.652355367,261.88799415381,70+,33.8869,9.5375
Tunisia,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",105.85399845747,70.28383079039,149.17871100618,70+,33.8869,9.5375
Türkiye,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",195.2204626884,126.63511338922,284.84120073389,70+,38.9637,35.2433
Türkiye,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",113.67680186985,73.26469978606,163.20640209121,70+,38.9637,35.2433
United Arab Emirates,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",184.79513582454,114.0273179935,281.87355656038,70+,23.4241,53.8478
United Arab Emirates,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",103.93949121473,66.07208942944,154.8894571609,70+,23.4241,53.8478
Yemen,2021.0,70+ years,Male,Parkinson's disease,"YLDs per 100,000",134.92539385671,88.77340250536,189.93661526574,70+,15.552727,48.516388
Yemen,2021.0,70+ years,Female,Parkinson's disease,"YLDs per 100,000",73.37054338951,47.07279633966,105.62882715909,70+,15.552727,48.516388
Afghanistan,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",70.35627041625,15.27753345373,154.86023211671,70+,33.93911,67.709953
Afghanistan,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",114.20507686118,24.6465339865,243.03046714434,70+,33.93911,67.709953
Algeria,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",89.60414677617,19.20409674209,196.95086066593,70+,28.033886,1.659626
Algeria,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",90.82368841746,19.09798569291,200.48412956463,70+,28.033886,1.659626
Bahrain,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",174.35778671389,39.40188054009,385.50467729419,70+,26.0667,50.5577
Bahrain,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",154.15589071547,35.46480148106,336.68381269692,70+,26.0667,50.5577
Egypt,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",115.47024576764,27.78147990009,264.62032435942,70+,26.820553,30.802498
Egypt,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",107.43964632971,23.93716075346,246.84471965879,70+,26.820553,30.802498
Iran (Islamic Republic of),2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",105.12816187289,52.87807744992,177.87864559324998,70+,32.4279,53.688
Iran (Islamic Republic of),2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",97.97459959492,50.49410205176,165.53211643769,70+,32.4279,53.688
Iraq,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",90.88601288322,22.27718010327,189.22133827807,70+,33.223191,43.679291
Iraq,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",84.57368871938,19.54224832765,178.26875467011,70+,33.223191,43.679291
Jordan,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",73.18595162597,18.49741955751,162.3047086942,70+,30.5852,36.2384
Jordan,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",69.52995690572,17.37359248029,153.23929260279002,70+,30.5852,36.2384
Kuwait,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",119.45971260154,21.36597181309,268.79674179303,70+,29.3759,47.9774
Kuwait,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",122.12177445126,25.77736503433,267.24270100534,70+,29.3759,47.9774
Lebanon,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",88.46742310579,18.23767823308,205.11190351644,70+,33.8547,35.8623
Lebanon,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",85.03915986839999,18.50576002047,192.92629118829,70+,33.8547,35.8623
Libya,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",88.2605674591,18.80706010481,189.50186802068,70+,26.3351,17.2283
Libya,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",85.68888827197,19.55965275754,183.32196622148,70+,26.3351,17.2283
Morocco,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",124.84647283389,28.06807945642,277.00914464007,70+,31.7917,-7.0926
Morocco,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",86.2252663356,17.9459569469,192.86793630264,70+,31.7917,-7.0926
Oman,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",124.80019053389,29.76473131295,265.84677303675,70+,21.4735,55.9754
Oman,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",98.00660992866,20.91601633316,207.05449357345,70+,21.4735,55.9754
Palestine,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",87.03953046413,19.88954119087,195.81863329849,70+,31.9474,35.2272
Palestine,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",83.30123864322,20.17143758388,184.26941408591,70+,31.9474,35.2272
Qatar,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",103.11804928428,22.71954647361,243.58908828489,70+,25.3548,51.1839
Qatar,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",132.57730506754,31.02756350079,299.78526781714004,70+,25.3548,51.1839
Saudi Arabia,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",166.91941675696,31.53207015051,358.90445953492,70+,23.8859,45.0792
Saudi Arabia,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",190.42768631886,38.009722303450005,401.18238823078,70+,23.8859,45.0792
Sudan,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",84.3679060931,20.26255370099,180.79073826719,70+,12.8628,30.2176
Sudan,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",80.65736690787999,19.50123534502,173.05515799233,70+,12.8628,30.2176
Syrian Arab Republic,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",58.31150075487,14.291961929849998,129.85006466019,70+,34.802075,38.996815
Syrian Arab Republic,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",59.69413867373999,13.17295653514,132.70763410598,70+,34.802075,38.996815
Tunisia,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",80.93764787598,19.09233265,179.74254293833,70+,33.8869,9.5375
Tunisia,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",78.92932491295,17.83717526951,172.51507141233,70+,33.8869,9.5375
Türkiye,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",146.93389004654,38.36586871584,319.07397770365,70+,38.9637,35.2433
Türkiye,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",141.25083280808,37.38018042833,306.71143485079,70+,38.9637,35.2433
United Arab Emirates,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",169.32959026769,43.06684008874,356.47809427072,70+,23.4241,53.8478
United Arab Emirates,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",153.60051010987,41.47599212333,332.28526941353,70+,23.4241,53.8478
Yemen,2021.0,70+ years,Male,Idiopathic epilepsy,"YLDs per 100,000",73.9192698811,11.63858409247,154.64737159116,70+,15.552727,48.516388
Yemen,2021.0,70+ years,Female,Idiopathic epilepsy,"YLDs per 100,000",69.39269453659,11.36794721799,149.85079087162,70+,15.552727,48.516388
Afghanistan,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",12.01126601468,7.680603479929999,18.30825695475,70+,33.93911,67.709953
Afghanistan,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",25.39916017674,15.53745182626,37.92825596606,70+,33.93911,67.709953
Algeria,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",16.16126904627,10.08699137076,24.28186654201,70+,28.033886,1.659626
Algeria,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",32.7633979745,20.63749563101,47.48391348029,70+,28.033886,1.659626
Bahrain,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",13.283199690699998,8.09173896879,20.85579468491,70+,26.0667,50.5577
Bahrain,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",28.31602459062,17.73648094576,41.89932147932,70+,26.0667,50.5577
Egypt,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",10.04413661241,5.42297182676,16.12489512547,70+,26.820553,30.802498
Egypt,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",25.733414887530003,14.34306057783,37.8807349467,70+,26.820553,30.802498
Iran (Islamic Republic of),2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",17.12158338336,12.09068775034,23.29882376338,70+,32.4279,53.688
Iran (Islamic Republic of),2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",35.36101671747,25.56508810683,46.445323670890005,70+,32.4279,53.688
Iraq,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",15.80780667182,9.60026761715,23.16456526191,70+,33.223191,43.679291
Iraq,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",25.88346586534,16.19859583486,38.08641944144,70+,33.223191,43.679291
Jordan,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",19.32868347457,11.75916993249,28.29550543595,70+,30.5852,36.2384
Jordan,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",36.44231880693,22.34092357971,53.281867859070005,70+,30.5852,36.2384
Kuwait,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",20.55817508858,12.04802732954,31.063565421320003,70+,29.3759,47.9774
Kuwait,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",34.29760518932,21.9870131418,49.32329170473,70+,29.3759,47.9774
Lebanon,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",19.22545983692,12.12737507374,28.074198609410004,70+,33.8547,35.8623
Lebanon,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",37.55873337548,24.54138981543,53.82811859508001,70+,33.8547,35.8623
Libya,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",15.47991555517,8.9479027673,22.01001770214,70+,26.3351,17.2283
Libya,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",30.1252724835,18.36826004836,44.40578875882,70+,26.3351,17.2283
Morocco,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",14.88758763763,9.41479125995,21.55458152894,70+,31.7917,-7.0926
Morocco,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",30.358598509430003,18.68646821591,44.93056731185,70+,31.7917,-7.0926
Oman,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",18.49594629976,11.86842506974,26.10802840032,70+,21.4735,55.9754
Oman,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",29.08972079712,18.26514113284,42.79993580448,70+,21.4735,55.9754
Palestine,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",17.07713845601,10.16255421876,25.51402445441,70+,31.9474,35.2272
Palestine,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",29.84562840669,18.23020879558,44.26337944513,70+,31.9474,35.2272
Qatar,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",22.59438333149,14.07079112995,34.87245799051,70+,25.3548,51.1839
Qatar,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",56.15132960477,38.58818027156,76.08221324936001,70+,25.3548,51.1839
Saudi Arabia,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",11.8843381105,6.837154493720001,19.68348616159,70+,23.8859,45.0792
Saudi Arabia,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",23.70456992998,14.05512532992,37.28338985858,70+,23.8859,45.0792
Sudan,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",9.97486388906,5.8948219241,15.53506793761,70+,12.8628,30.2176
Sudan,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",19.23453699691,11.49821170081,28.25502356347,70+,12.8628,30.2176
Syrian Arab Republic,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",14.30033005601,8.655382450160001,21.40975149143,70+,34.802075,38.996815
Syrian Arab Republic,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",29.74405390992,18.44967677194,43.98310255424,70+,34.802075,38.996815
Tunisia,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",18.84271581503,11.89499945421,28.45405669973,70+,33.8869,9.5375
Tunisia,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",35.4417828666,22.53482418788,51.79747875322,70+,33.8869,9.5375
Türkiye,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",17.77356816629,10.84311416304,24.81419763131,70+,38.9637,35.2433
Türkiye,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",29.58320013896,19.29507319479,42.76749335749,70+,38.9637,35.2433
United Arab Emirates,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",9.13340305151,4.9785806773,15.05913071055,70+,23.4241,53.8478
United Arab Emirates,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",16.11552299973,9.39871739401,25.14906199404,70+,23.4241,53.8478
Yemen,2021.0,70+ years,Male,Multiple sclerosis,"YLDs per 100,000",9.20993771627,5.24175029277,14.59890415947,70+,15.552727,48.516388
Yemen,2021.0,70+ years,Female,Multiple sclerosis,"YLDs per 100,000",18.13377679531,10.98870977668,26.51948941721,70+,15.552727,48.516388
Afghanistan,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.42295705103,0.2366329351399999,0.64158849754,70+,33.93911,67.709953
Afghanistan,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.3849384443399999,0.21229060328,0.5854996145,70+,33.93911,67.709953
Algeria,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.51836087304,0.301406655,0.76768245322,70+,28.033886,1.659626
Algeria,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.47625911536,0.2711867967899999,0.72115139688,70+,28.033886,1.659626
Bahrain,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.47790239042,0.27471230705,0.76367341367,70+,26.0667,50.5577
Bahrain,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.45774132616,0.26200891332,0.69580205112,70+,26.0667,50.5577
Egypt,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.44449613244,0.26040842631,0.6607742611099999,70+,26.820553,30.802498
Egypt,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.37009830278,0.20327283842,0.57727400154,70+,26.820553,30.802498
Iran (Islamic Republic of),2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.62966730327,0.38307137177,0.89268812462,70+,32.4279,53.688
Iran (Islamic Republic of),2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.65272940073,0.39476864624,0.94797394649,70+,32.4279,53.688
Iraq,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.52629410048,0.30760857199,0.7994557692700001,70+,33.223191,43.679291
Iraq,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.5454891403100001,0.31467220783,0.82094431894,70+,33.223191,43.679291
Jordan,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.53013841344,0.30710440681,0.79152743828,70+,30.5852,36.2384
Jordan,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.47677603782,0.2716312436999999,0.73886683788,70+,30.5852,36.2384
Kuwait,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",1.09314652177,0.73315762029,1.52725838296,70+,29.3759,47.9774
Kuwait,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.6154022407499999,0.37202111502,0.90152127083,70+,29.3759,47.9774
Lebanon,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.57770868986,0.33805610169,0.83711425791,70+,33.8547,35.8623
Lebanon,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.56811276664,0.34126595728,0.8148428929,70+,33.8547,35.8623
Libya,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.47058389569,0.27674228245,0.6874999723299999,70+,26.3351,17.2283
Libya,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.46795234485,0.27873626313,0.6869155432499999,70+,26.3351,17.2283
Morocco,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.4869466377099999,0.2783263187799999,0.72359002256,70+,31.7917,-7.0926
Morocco,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.46422586765,0.26515613443,0.71054295492,70+,31.7917,-7.0926
Oman,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.41497191652,0.23861159683,0.64505892551,70+,21.4735,55.9754
Oman,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.79986670171,0.48093548019,1.1523168764,70+,21.4735,55.9754
Palestine,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.4583435896,0.24885615461,0.6987027699899999,70+,31.9474,35.2272
Palestine,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.4665010751199999,0.26966506172,0.70505109532,70+,31.9474,35.2272
Qatar,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.54226230702,0.31383499731,0.84603960714,70+,25.3548,51.1839
Qatar,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.50947246453,0.2887176751799999,0.77293383235,70+,25.3548,51.1839
Saudi Arabia,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.52822582059,0.3140110654199999,0.7850326801999999,70+,23.8859,45.0792
Saudi Arabia,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.45322191898,0.26518711175,0.68603849213,70+,23.8859,45.0792
Sudan,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.34346814347,0.19907523471,0.51035841614,70+,12.8628,30.2176
Sudan,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.3334137606,0.19021131337,0.4910242220399999,70+,12.8628,30.2176
Syrian Arab Republic,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.50212479543,0.29029512835,0.73388014736,70+,34.802075,38.996815
Syrian Arab Republic,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.46862528417,0.25496542867,0.71231556921,70+,34.802075,38.996815
Tunisia,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.54640367546,0.3106107778299999,0.80533936071,70+,33.8869,9.5375
Tunisia,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.55637133438,0.33332093305,0.8333185249499999,70+,33.8869,9.5375
Türkiye,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",1.71949718628,1.09732519168,2.39001298429,70+,38.9637,35.2433
Türkiye,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",1.29477418972,0.8315826937699999,1.8423706841700005,70+,38.9637,35.2433
United Arab Emirates,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.52179827542,0.30477962679,0.80137011186,70+,23.4241,53.8478
United Arab Emirates,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.49973277288,0.27958683224,0.8183968184799999,70+,23.4241,53.8478
Yemen,2021.0,70+ years,Male,Motor neuron disease,"YLDs per 100,000",0.31788592615,0.17949166759,0.4834246561199999,70+,15.552727,48.516388
Yemen,2021.0,70+ years,Female,Motor neuron disease,"YLDs per 100,000",0.31224904595,0.17407101971,0.48888903581,70+,15.552727,48.516388
Afghanistan,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",329.78423659475004,122.5516642878,667.06204655235,70+,33.93911,67.709953
Afghanistan,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",464.25705724557,163.27513525485,931.47142869269,70+,33.93911,67.709953
Algeria,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",339.27186855556,123.51114669535,697.05333099593,70+,28.033886,1.659626
Algeria,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",467.91536412962,162.57179843462,919.21377912607,70+,28.033886,1.659626
Bahrain,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",353.16068531903,125.51288183894,713.3943459963899,70+,26.0667,50.5577
Bahrain,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",475.64835084166,166.14849138726998,952.14537948983,70+,26.0667,50.5577
Egypt,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",342.02286519169,119.37837905763,684.9148408618901,70+,26.820553,30.802498
Egypt,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",477.22100665487005,165.24666029903,940.63390920184,70+,26.820553,30.802498
Iran (Islamic Republic of),2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",384.611315669,141.65881609338,750.3924987008601,70+,32.4279,53.688
Iran (Islamic Republic of),2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",535.4922246240001,169.08844030614,1070.15248966334,70+,32.4279,53.688
Iraq,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",338.11216862439,122.51468570944002,692.26978970856,70+,33.223191,43.679291
Iraq,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",464.33769222088,171.42923852862,924.10094313884,70+,33.223191,43.679291
Jordan,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",338.87765689257,126.47056189706,694.41057574273,70+,30.5852,36.2384
Jordan,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",468.14695205068,164.45985804153,932.76681429979,70+,30.5852,36.2384
Kuwait,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",316.76819590593004,107.31883275165,640.38617475075,70+,29.3759,47.9774
Kuwait,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",433.04253854021,158.63043343273,869.5967067276201,70+,29.3759,47.9774
Lebanon,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",319.35562317758,114.14549408047,643.7033172193001,70+,33.8547,35.8623
Lebanon,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",439.8453256722401,150.25611494477,865.3139825174,70+,33.8547,35.8623
Libya,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",328.96669724103,118.83346408681,669.89504139437,70+,26.3351,17.2283
Libya,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",453.52955176162993,161.97269201174998,907.67520163294,70+,26.3351,17.2283
Morocco,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",335.35219769770003,121.090727223,682.4303621513001,70+,31.7917,-7.0926
Morocco,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",453.98152031996005,161.28734507231,879.69532350184,70+,31.7917,-7.0926
Oman,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",337.19405799914,121.84704588056,670.74267800604,70+,21.4735,55.9754
Oman,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",466.1982624896101,164.70481724904,923.64735578119,70+,21.4735,55.9754
Palestine,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",342.70332596871,128.61002758469002,679.44268460908,70+,31.9474,35.2272
Palestine,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",459.91994239513,158.74041812936,905.1640886511,70+,31.9474,35.2272
Qatar,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",341.44894239874003,120.82376846975,687.68473773834,70+,25.3548,51.1839
Qatar,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",456.96709074866,162.84916727424,902.39007903683,70+,25.3548,51.1839
Saudi Arabia,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",346.53095447527,124.26600363444,691.34483738446,70+,23.8859,45.0792
Saudi Arabia,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",444.70700643019,162.32390130389,868.74859809424,70+,23.8859,45.0792
Sudan,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",340.33653447396,121.50463603012,689.19967737143,70+,12.8628,30.2176
Sudan,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",465.65953266141,168.60517954259,919.08404397015,70+,12.8628,30.2176
Syrian Arab Republic,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",340.6025850936,120.81099437344,700.71873649728,70+,34.802075,38.996815
Syrian Arab Republic,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",478.16023382818,166.7025893885,930.09850817858,70+,34.802075,38.996815
Tunisia,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",335.11750960026995,118.87525950158,680.76503019651,70+,33.8869,9.5375
Tunisia,2021.0,70+ years,Female,Headache disorders,"YLDs per 100,000",455.66622338254007,161.03058601241,908.85590277247,70+,33.8869,9.5375
Türkiye,2021.0,70+ years,Male,Headache disorders,"YLDs per 100,000",318.920579248,124.89008293945,613.8823118599701,70+,38.9637,35.2433
