Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound,Age Group,Latitude,Longitude
Iran (Islamic Republic of),2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",21.85567035081,14.86466274632,30.3914477052,50-69,32.4279,53.688
Iraq,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",26.12659372819,16.65090319023,37.64828853964,50-69,33.223191,43.679291
Iraq,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",17.69264795398,10.90196927579,26.94085212386,50-69,33.223191,43.679291
Jordan,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",18.53550770985,10.92483671143,27.36360160749,50-69,30.5852,36.2384
Jordan,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",13.98730705502,8.22541395685,21.42904326996,50-69,30.5852,36.2384
Kuwait,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",23.88177461797,14.494732445640002,36.06247514536,50-69,29.3759,47.9774
Kuwait,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",16.56643618309,9.64512733872,25.34782634696,50-69,29.3759,47.9774
Lebanon,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",26.623439422550003,15.65710749341,39.76708420343,50-69,33.8547,35.8623
Lebanon,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",20.67545442602,12.52541874697,32.08011710664,50-69,33.8547,35.8623
Libya,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",25.57340152008,15.18361815072,39.14640691192,50-69,26.3351,17.2283
Libya,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",22.62755688315,13.82973898369,33.25109886322,50-69,26.3351,17.2283
Morocco,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",30.33145839109,19.53392061432,44.81031490336,50-69,31.7917,-7.0926
Morocco,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",24.15973221936,15.196339138150002,36.06784063076,50-69,31.7917,-7.0926
Oman,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",24.37583171143,15.24634509105,36.78508052097,50-69,21.4735,55.9754
Oman,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",22.37386490809,13.34827667158,33.5059408366,50-69,21.4735,55.9754
Palestine,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",28.11045480462,17.20769339555,41.16974327518,50-69,31.9474,35.2272
Palestine,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",17.85767875537,10.42105921688,27.20728629568,50-69,31.9474,35.2272
Qatar,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",22.31223854689,13.21809541708,33.24851336133,50-69,25.3548,51.1839
Qatar,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",23.05792805697,13.70418413231,34.47907003662,50-69,25.3548,51.1839
Saudi Arabia,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",30.03104137229,17.36127443412,46.1980269626,50-69,23.8859,45.0792
Saudi Arabia,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",18.62918529764,11.14222114103,28.04073851521,50-69,23.8859,45.0792
Sudan,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",27.34331500201,16.78274289386,42.29814945849,50-69,12.8628,30.2176
Sudan,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",18.97755519014,11.67212269814,28.62763807367,50-69,12.8628,30.2176
Syrian Arab Republic,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",26.02732866619,16.3103964712,39.70355116338,50-69,34.802075,38.996815
Syrian Arab Republic,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",18.50776333638,10.94056219546,27.60042926501,50-69,34.802075,38.996815
Tunisia,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",28.122857857240003,17.55033523603,43.05593426992,50-69,33.8869,9.5375
Tunisia,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",22.03482275665,12.97708162166,33.00390404074,50-69,33.8869,9.5375
Türkiye,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",29.45756227508,17.55543177128,43.68097955742,50-69,38.9637,35.2433
Türkiye,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",21.69644448766,12.94846037103,33.3519815119,50-69,38.9637,35.2433
United Arab Emirates,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",29.16973199108,17.1536257396,44.49179551671,50-69,23.4241,53.8478
United Arab Emirates,2021.0,50-69 years,Female,Parkinson's disease,"YLDs per 100,000",23.71569940565,14.27099042378,35.76083614308,50-69,23.4241,53.8478
Yemen,2021.0,50-69 years,Male,Parkinson's disease,"YLDs per 100,000",22.81488501317,13.93183295387,33.74485007051,50-69,15.552727,48.516388
